Layer,	Type,	tot_word_ifmap_rd_dram,	max_word_ifmap_rd_dram,	tot_access_ifmap_rd_dram,	tot_row_access_ifmap_rd_dram,	act_cycles_ifmap_rd_dram,	shift_cycles_ifmap_rd_dram,	ideal_start_cycle_ifmap_rd_dram,	ideal_end_cycle_ifmap_rd_dram,	real_start_cycle_ifmap_rd_dram,	real_end_cycle_ifmap_rd_dram,	tot_word_filter_rd_dram,	max_word_filter_rd_dram,	tot_access_filter_rd_dram,	tot_row_access_filter_rd_dram,	act_cycles_filter_rd_dram,	shift_cycles_filter_rd_dram,	ideal_start_cycle_filter_rd_dram,	ideal_end_cycle_filter_rd_dram,	real_start_cycle_filter_rd_dram,	real_end_cycle_filter_rd_dram,	tot_word_ofmap_rd_dram,	max_word_ofmap_rd_dram,	tot_access_ofmap_rd_dram,	tot_row_access_ofmap_rd_dram,	act_cycles_ofmap_rd_dram,	shift_cycles_ofmap_rd_dram,	ideal_start_cycle_ofmap_rd_dram,	ideal_end_cycle_ofmap_rd_dram,	real_start_cycle_ofmap_rd_dram,	real_end_cycle_ofmap_rd_dram,	tot_word_ofmap_wr_dram,	max_word_ofmap_wr_dram,	tot_access_ofmap_wr_dram,	tot_row_access_ofmap_wr_dram,	act_cycles_ofmap_wr_dram,	shift_cycles_ofmap_wr_dram,	ideal_start_cycle_ofmap_wr_dram,	ideal_end_cycle_ofmap_wr_dram,	real_start_cycle_ofmap_wr_dram,	real_end_cycle_ofmap_wr_dram,	tot_word_ifmap_rd_sram,	max_word_ifmap_rd_sram,	tot_access_ifmap_rd_sram,	max_access_ifmap_rd_sram,	act_cycles_ifmap_rd_sram,	stall_cycles_ifmap_rd_sram,	ideal_start_cycle_ifmap_rd_sram,	ideal_end_cycle_ifmap_rd_sram,	real_start_cycle_ifmap_rd_sram,	real_end_cycle_ifmap_rd_sram,	tot_word_filter_rd_sram,	max_word_filter_rd_sram,	tot_access_filter_rd_sram,	max_access_filter_rd_sram,	act_cycles_filter_rd_sram,	stall_cycles_filter_rd_sram,	ideal_start_cycle_filter_rd_sram,	ideal_end_cycle_filter_rd_sram,	real_start_cycle_filter_rd_sram,	real_end_cycle_filter_rd_sram,	tot_word_ofmap_rd_sram,	max_word_ofmap_rd_sram,	tot_access_ofmap_rd_sram,	max_access_ofmap_rd_sram,	act_cycles_ofmap_rd_sram,	stall_cycles_ofmap_rd_sram,	ideal_start_cycle_ofmap_rd_sram,	ideal_end_cycle_ofmap_rd_sram,	real_start_cycle_ofmap_rd_sram,	real_end_cycle_ofmap_rd_sram,	tot_word_ofmap_wr_sram,	max_word_ofmap_wr_sram,	tot_access_ofmap_wr_sram,	max_access_ofmap_wr_sram,	act_cycles_ofmap_wr_sram,	stall_cycles_ofmap_wr_sram,	ideal_start_cycle_ofmap_wr_sram,	ideal_end_cycle_ofmap_wr_sram,	real_start_cycle_ofmap_wr_sram,	real_end_cycle_ofmap_wr_sram,	ideal_layer_cycle,	ideal_layer_sec,	real_layer_cycle,	real_layer_sec,	act_cycle_ifmap_rd,	act_cycle_filter_rd,	act_cycle_ofmap_rd,	act_cycle_ofmap_wr,	dynamic_cycle_ireg,	dynamic_cycle_wreg,	dynamic_cycle_mac,	
FC3_7,	GEMM,	3520,	8,	440,	4,	440,	0,	-440.0,	-1.0,	-440.0,	-1.0,	901120,	8,	112903,	1258,	177776,	0,	-8192.0,	194997.0,	-8192.0,	194997.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	256,	8,	32,	1,	32,	0,	214610.0,	214641.0,	214610.0,	214641.0,	66880,	1,	66880,	1,	66880,	0,	0.0,	214608.0,	0.0,	214608.0,	901120,	14,	901120,	14,	66880,	0,	0.0,	214608.0,	0.0,	214608.0,	75008,	1,	75008,	1,	75008,	0,	0.0,	214608.0,	0.0,	214608.0,	75264,	1,	75264,	1,	75264,	0,	25.0,	214609.0,	25.0,	214609.0,	222834.0,	0.003537047619047619,	222834.0,	0.003537047619047619,	66880,	66880,	75008,	75264,	66880,	66880,	75264,	
FC3_8,	GEMM,	3520,	8,	440,	4,	440,	0,	-440.0,	-1.0,	-440.0,	-1.0,	901120,	8,	112903,	1258,	177776,	0,	-8192.0,	194997.0,	-8192.0,	194997.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	256,	8,	32,	1,	32,	0,	214610.0,	214641.0,	214610.0,	214641.0,	66880,	1,	66880,	1,	66880,	0,	0.0,	214608.0,	0.0,	214608.0,	901120,	14,	901120,	14,	66880,	0,	0.0,	214608.0,	0.0,	214608.0,	75008,	1,	75008,	1,	75008,	0,	0.0,	214608.0,	0.0,	214608.0,	75264,	1,	75264,	1,	75264,	0,	25.0,	214609.0,	25.0,	214609.0,	222834.0,	0.003537047619047619,	222834.0,	0.003537047619047619,	66880,	66880,	75008,	75264,	66880,	66880,	75264,	
FC3_9,	GEMM,	3520,	8,	440,	4,	440,	0,	-440.0,	-1.0,	-440.0,	-1.0,	901120,	8,	112903,	1258,	177776,	0,	-8192.0,	194997.0,	-8192.0,	194997.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	256,	8,	32,	1,	32,	0,	214610.0,	214641.0,	214610.0,	214641.0,	66880,	1,	66880,	1,	66880,	0,	0.0,	214608.0,	0.0,	214608.0,	901120,	14,	901120,	14,	66880,	0,	0.0,	214608.0,	0.0,	214608.0,	75008,	1,	75008,	1,	75008,	0,	0.0,	214608.0,	0.0,	214608.0,	75264,	1,	75264,	1,	75264,	0,	25.0,	214609.0,	25.0,	214609.0,	222834.0,	0.003537047619047619,	222834.0,	0.003537047619047619,	66880,	66880,	75008,	75264,	66880,	66880,	75264,	
RNN4_FG_0,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_NG_0,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_ptwise1_0,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
RNN4_ptwise2_0,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
RNN4_FG_1,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_NG_1,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_ptwise1_1,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
RNN4_ptwise2_1,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
RNN4_FG_2,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_NG_2,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_ptwise1_2,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
RNN4_ptwise2_2,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
RNN4_FG_3,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_NG_3,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_ptwise1_3,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
RNN4_ptwise2_3,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
RNN4_FG_4,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_NG_4,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_ptwise1_4,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
RNN4_ptwise2_4,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
RNN4_FG_5,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_NG_5,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_ptwise1_5,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
RNN4_ptwise2_5,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
RNN4_FG_6,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_NG_6,	GEMM,	320,	8,	40,	1,	40,	0,	-40.0,	-1.0,	-40.0,	-1.0,	20480,	8,	2560,	21,	2560,	0,	-2560.0,	-1.0,	-2560.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	64,	8,	8,	1,	8,	0,	5063.0,	5070.0,	5063.0,	5070.0,	1600,	1,	1600,	1,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	20480,	14,	20480,	14,	1600,	0,	0.0,	5061.0,	0.0,	5061.0,	1664,	1,	1664,	1,	1664,	0,	0.0,	5061.0,	0.0,	5061.0,	1728,	1,	1728,	1,	1728,	0,	25.0,	5062.0,	25.0,	5062.0,	7631.0,	0.00012112698412698412,	7631.0,	0.00012112698412698412,	1600,	1600,	1664,	1728,	1600,	1600,	1728,	
RNN4_ptwise1_6,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
RNN4_ptwise2_6,	GEMM,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	64,	8,	8,	1,	8,	0,	-8.0,	-1.0,	-8.0,	-1.0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	0,	1,	1,	1,	1,	1,	0,	140.0,	140.0,	140.0,	140.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	64,	1,	64,	1,	64,	0,	0.0,	138.0,	0.0,	138.0,	5,	1,	5,	1,	5,	0,	0.0,	138.0,	0.0,	138.0,	6,	1,	6,	1,	6,	0,	25.0,	139.0,	25.0,	139.0,	149.0,	2.3650793650793653e-06,	149.0,	2.3650793650793653e-06,	64,	64,	5,	6,	64,	64,	64,	
